ID,title,type,image,released,timeline,description,series,number,publisher,ranking
388,Darth Vader #15,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_15.jpg,1/13/2016,1.003,,Darth Vader,15,Marvel,
389,Darth Vader #16,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_16.jpg,2/10/2016,1.0032,,Darth Vader,16,Marvel,
390,Darth Vader #17,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_17.jpg,3/2/2016,1.0034,,Darth Vader,17,Marvel,
391,Darth Vader #18,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_18.jpg,3/30/2016,1.0036,,Darth Vader,18,Marvel,
392,Darth Vader #19,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_19.jpg,4/13/2016,1.0037,,Darth Vader,19,Marvel,
393,Darth Vader #20,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_20.jpg,5/11/2016,1.0039,,Darth Vader,20,Marvel,
394,Darth Vader #21,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_21.jpg,6/8/2016,1.0041,,Darth Vader,21,Marvel,
395,Darth Vader #22,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_22.jpg,6/29/2016,1.0043,,Darth Vader,22,Marvel,
396,Darth Vader #23,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_23.jpg,7/20/2016,1.0044,,Darth Vader,23,Marvel,
397,Darth Vader #24,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_24.jpg,8/10/2016,1.0046,,Darth Vader,24,Marvel,
398,Darth Vader #25,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_25.jpg,10/12/2016,1.0049,,Darth Vader,25,Marvel,
399,Age of Republic - Villains,TPB,https://minirogue.github.io/SWCovers/TPB/age_of_republic_villains.jpg,5/8/2019,,,Age of Republic,,Marvel,
400,Age of Rebellion - Villains,TPB,https://minirogue.github.io/SWCovers/TPB/age_of_rebellion_villains.jpg,8/21/2019,,,Age of Rebellion,,Marvel,
401,Age of Republic: Anakin Skywalker #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/age_of_republic_anakin_skywalker_1.jpg,2/6/2019,-21.5,,Age of Republic,,Marvel,
402,Age of Republic: Obi-Wan Kenobi #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/age_of_republic_obiwan_kenobi_1.jpg,1/2/2019,-27.5,,Age of Republic,,Marvel,
403,Age of Republic: Padme Amidala #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/age_of_republic_padme_amidala_1.jpg,3/6/2019,-20.9825,,Age of Republic,,Marvel,
404,Age of Republic Qui-Gon Jinn #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/age_of_republic_quigon_jinn_1.jpg,12/5/2018,-34,,Age of Republic,,Marvel,
405,Age of Republic: Count Dooku #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/age_of_republic_count_dooku_1.jpg,2/13/2019,-27,,Age of Republic,,Marvel,
406,Age of Republic: Darth Maul #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/age_of_republic_darth_maul_1.jpg,12/12/2018,-32.5,,Age of Republic,,Marvel,
407,Age of Republic: General Grievous #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/age_of_republic_general_grievous_1.jpg,3/13/2019,-20.9875,,Age of Republic,,Marvel,
408,Age of Republic: Jango Fett #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/age_of_republic_jango_fett_1.jpg,1/9/2019,-24,,Age of Republic,,Marvel,
409,Age of Republic Special #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/age_of_republic_special_1.jpg,1/16/2019,,,Age of Republic,,Marvel,
410,Age of Rebellion: Han Solo #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/age_of_rebellion_han_solo_1.jpg,5/1/2019,,,Age of Rebellion,,Marvel,
411,Age of Rebellion: Lando Calrissian #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/age_of_rebellion_lando_calrissian_1.jpg,5/15/2019,3.05,,Age of Rebellion,,Marvel,
412,Age of Rebellion: Luke Skywalker #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/age_of_rebellion_luke_skywalker_1.jpg,6/5/2019,,,Age of Rebellion,,Marvel,
413,Age of Rebellion: Princess Leia #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/age_of_rebellion_princess_leia_1.jpg,4/10/2019,,,Age of Rebellion,,Marvel,
414,Age of Rebellion: Boba Fett #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/age_of_rebellion_boba_fett_1.jpg,5/8/2019,,,Age of Rebellion,,Marvel,
415,Age of Rebellion: Darth Vader #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/age_of_rebellion_darth_vader_1.jpg,6/26/2019,-18.9876,,Age of Rebellion,,Marvel,
416,Age of Rebellion: Jabba the Hutt #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/age_of_rebellion_jabba_the_hutt_1.jpg,5/22/2019,,,Age of Rebellion,,Marvel,
417,Age of Rebellion: Grand Moff Tarkin #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/age_of_rebellion_grand_moff_tarkin_1.jpg,4/10/2019,,,Age of Rebellion,,Marvel,
418,Age of Rebellion Special #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/age_of_rebellion_special_1.jpg,4/17/2019,,,Age of Rebellion,,Marvel,
419,Darth Vader Annual #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_annual_1.jpg,12/16/2015,1.00319,,Darth Vader,1,Marvel,
420,Darth Vader Vol. 1: Vader,TPB,https://minirogue.github.io/SWCovers/TPB/darth_vader_vader.jpg,10/20/2015,1.00019,Collects Darth Vader #1-6,Darth Vader,,Marvel,
421,Darth Vader Vol. 2: Shadows and Secrets,TPB,https://minirogue.github.io/SWCovers/TPB/darth_vader_shadows_and_secrets.jpg,1/5/2016,1.00119,Collects Darth Vader #7-12,Darth Vader,,Marvel,
422,Darth Vader Vol. 3: The Shu-Torun War,TPB,https://minirogue.github.io/SWCovers/TPB/darth_vader_the_shutorun_war.jpg,8/9/2016,1.00318,Collects Darth Vader #16-19 and Darth Vader Annual #1,Darth Vader,,Marvel,
423,Darth Vader Vol. 4: End of Games,TPB,https://minirogue.github.io/SWCovers/TPB/darth_vader_end_of_games.jpg,12/6/2016,1.00389,Collects Darth Vader #20-25,Darth Vader,,Marvel,
424,Doctor Aphra #32,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_32.jpg,5/8/2019,1.0127,,Doctor Aphra,32,Marvel,
425,Darth Vader: Dark Lord of the Sith Vol. 3: The Burning Seas,TPB,https://minirogue.github.io/SWCovers/TPB/darth_vader_the_burning_seas.jpg,9/11/2018,-18.9875,Collects Darth Vader: Dark Lord of the Sith #13-18,Darth Vader: Dark Lord of the Sith,,Marvel,
426,Darth Vader: Dark Lord of the Sith Vol. 4: Fortress Vader,TPB,https://minirogue.github.io/SWCovers/TPB/darth_vader_fortress_vader.jpg,2/12/2019,-18.9815,Collects Darth Vader: Dark Lord of the Sith #19-25,Darth Vader: Dark Lord of the Sith,,Marvel,
427,Darth Vader: Dark Lord of the Sith #01,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_01.jpg,6/7/2017,-18.999,,Darth Vader: Dark Lord of the Sith,1,Marvel,
428,Darth Vader: Dark Lord of the Sith #02,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_02.jpg,6/21/2017,-18.998,,Darth Vader: Dark Lord of the Sith,2,Marvel,
429,Darth Vader: Dark Lord of the Sith #03,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_03.jpg,7/12/2017,-18.997,,Darth Vader: Dark Lord of the Sith,3,Marvel,
430,Darth Vader: Dark Lord of the Sith #04,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_04.jpg,8/2/2017,-18.996,,Darth Vader: Dark Lord of the Sith,4,Marvel,
431,Darth Vader: Dark Lord of the Sith #05,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_05.jpg,9/6/2017,-18.995,,Darth Vader: Dark Lord of the Sith,5,Marvel,
432,Darth Vader: Dark Lord of the Sith #06,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_06.jpg,10/4/2017,-18.994,,Darth Vader: Dark Lord of the Sith,6,Marvel,
433,Darth Vader: Dark Lord of the Sith #07,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_07.jpg,11/1/2017,-18.993,,Darth Vader: Dark Lord of the Sith,7,Marvel,
434,Darth Vader: Dark Lord of the Sith #08,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_08.jpg,11/15/2017,-18.992,,Darth Vader: Dark Lord of the Sith,8,Marvel,
435,Darth Vader: Dark Lord of the Sith #09,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_09.jpg,12/6/2017,-18.991,,Darth Vader: Dark Lord of the Sith,9,Marvel,
436,Darth Vader: Dark Lord of the Sith #10,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_10.jpg,1/10/2018,-18.99,,Darth Vader: Dark Lord of the Sith,10,Marvel,
437,Darth Vader: Dark Lord of the Sith #11,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_11.jpg,2/14/2018,-18.989,,Darth Vader: Dark Lord of the Sith,11,Marvel,
438,Darth Vader: Dark Lord of the Sith #12,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_12.jpg,2/28/2018,-18.988,,Darth Vader: Dark Lord of the Sith,12,Marvel,
439,Darth Vader: Dark Lord of the Sith #13,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_13.jpg,3/14/2018,-18.987,,Darth Vader: Dark Lord of the Sith,13,Marvel,
440,Darth Vader: Dark Lord of the Sith #14,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_14.jpg,4/11/2018,-18.986,,Darth Vader: Dark Lord of the Sith,14,Marvel,
441,Darth Vader: Dark Lord of the Sith #15,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_15.jpg,4/25/2018,-18.985,,Darth Vader: Dark Lord of the Sith,15,Marvel,
442,Darth Vader: Dark Lord of the Sith #16,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_16.jpg,5/9/2018,-18.984,,Darth Vader: Dark Lord of the Sith,16,Marvel,
443,Darth Vader: Dark Lord of the Sith #17,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_17.jpg,6/13/2018,-18.983,,Darth Vader: Dark Lord of the Sith,17,Marvel,
444,Darth Vader: Dark Lord of the Sith #18,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_18.jpg,7/11/2018,-18.982,,Darth Vader: Dark Lord of the Sith,18,Marvel,
445,Darth Vader: Dark Lord of the Sith #19,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_19.jpg,8/8/2018,-18.981,,Darth Vader: Dark Lord of the Sith,19,Marvel,
446,Darth Vader: Dark Lord of the Sith #20,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_20.jpg,8/22/2018,-18.98,,Darth Vader: Dark Lord of the Sith,20,Marvel,
447,Darth Vader: Dark Lord of the Sith #21,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_21.jpg,9/12/2018,-18.979,,Darth Vader: Dark Lord of the Sith,21,Marvel,
448,Darth Vader: Dark Lord of the Sith #22,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_22.jpg,10/17/2018,-18.978,,Darth Vader: Dark Lord of the Sith,22,Marvel,
449,Darth Vader: Dark Lord of the Sith #23,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_23.jpg,11/14/2018,-18.977,,Darth Vader: Dark Lord of the Sith,23,Marvel,
450,Darth Vader: Dark Lord of the Sith #24,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_24.jpg,11/28/2018,-18.976,,Darth Vader: Dark Lord of the Sith,24,Marvel,
451,Darth Vader: Dark Lord of the Sith #25,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_dlots_25.jpg,12/19/2018,-18.975,,Darth Vader: Dark Lord of the Sith,25,Marvel,
452,Doctor Aphra #23,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_23.jpg,8/22/2018,1.0105,,Doctor Aphra,23,Marvel,
453,Doctor Aphra #24,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_24.jpg,9/26/2018,1.0108,,Doctor Aphra,24,Marvel,
454,Doctor Aphra #25,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_25.jpg,10/24/2018,1.011,,Doctor Aphra,25,Marvel,
455,Doctor Aphra #26,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_26.jpg,11/14/2018,1.0112,,Doctor Aphra,26,Marvel,
456,Doctor Aphra #27,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_27.jpg,12/12/2018,1.0115,,Doctor Aphra,27,Marvel,
457,Doctor Aphra #28,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_28.jpg,1/30/2019,1.0118,,Doctor Aphra,28,Marvel,
458,Doctor Aphra #29,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_29.jpg,2/27/2019,1.012,,Doctor Aphra,29,Marvel,
459,Doctor Aphra #30,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_30.jpg,3/27/2019,1.0123,,Doctor Aphra,30,Marvel,
460,Doctor Aphra #31,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_31.jpg,4/24/2019,1.0125,,Doctor Aphra,31,Marvel,
461,Jedi of the Republic: Mace Windu #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/mace_windu_1.jpg,8/30/2017,-21.998,,Jedi of the Republic: Mace Windu,1,Marvel,
462,Jedi of the Republic: Mace Windu #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/mace_windu_2.jpg,9/27/2017,-21.997,,Jedi of the Republic: Mace Windu,2,Marvel,
463,Jedi of the Republic: Mace Windu #3,Comic Book,https://minirogue.github.io/SWCovers/Comics/mace_windu_3.jpg,10/25/2017,-21.996,,Jedi of the Republic: Mace Windu,3,Marvel,
464,Jedi of the Republic: Mace Windu #4,Comic Book,https://minirogue.github.io/SWCovers/Comics/mace_windu_4.jpg,11/29/2017,-21.995,,Jedi of the Republic: Mace Windu,4,Marvel,
465,Jedi of the Republic: Mace Windu #5,Comic Book,https://minirogue.github.io/SWCovers/Comics/mace_windu_5.jpg,12/27/2017,-21.994,,Jedi of the Republic: Mace Windu,5,Marvel,
466,Kanan Vol. 1: The Last Padawan,TPB,https://minirogue.github.io/SWCovers/TPB/kanan_the_last_padawan.jpg,11/4/2015,-18.7995,Collects Kanan #1-6,Kanan,,Marvel,
467,Kanan Vol. 2: First Blood,TPB,https://minirogue.github.io/SWCovers/TPB/kanan_first_blood.jpg,5/18/2016,-18.7935,Collects Kanan #7-12,Kanan,,Marvel,
468,Kanan #01,Comic Book,https://minirogue.github.io/SWCovers/Comics/kanan_01.jpg,4/1/2015,-18.799,,Kanan,1,Marvel,
469,Kanan #02,Comic Book,https://minirogue.github.io/SWCovers/Comics/kanan_02.jpg,5/6/2015,-18.798,,Kanan,2,Marvel,
470,Kanan #03,Comic Book,https://minirogue.github.io/SWCovers/Comics/kanan_03.jpg,6/10/2015,-18.797,"Young Caleb Dume is surrounded in his stolen ship above Coruscant. He must make a break for it, but where can he go when the whole galaxy is hunting him?",Kanan,3,Marvel,
471,Kanan #04,Comic Book,https://minirogue.github.io/SWCovers/Comics/kanan_04.jpg,7/22/2015,-18.796,"The young padawan formerly known as Caleb Dume has been sold out... or has he? He must escape and continue to evade Commander Grey and Captain Stylez, his former one trooper allies.",Kanan,4,Marvel,
472,Kanan #05,Comic Book,https://minirogue.github.io/SWCovers/Comics/kanan_05.jpg,8/19/2015,-18.795,"Commander Grey and Captain Styles have finally caught the Jedi traitor known as Caleb Dume. Is this the end for him? (This comic is an extended flashback, so the answer is kind of obvious.)",Kanan,5,Marvel,
473,Kanan #06,Comic Book,https://minirogue.github.io/SWCovers/Comics/kanan_06.jpg,9/23/2015,-1.9855,,Kanan,6,Marvel,
474,Kanan #07,Comic Book,https://minirogue.github.io/SWCovers/Comics/kanan_07.jpg,10/28/2015,-18.793,,Kanan,7,Marvel,
475,Kanan #08,Comic Book,https://minirogue.github.io/SWCovers/Comics/kanan_08.jpg,11/18/2015,-18.792,,Kanan,8,Marvel,
476,Kanan #09,Comic Book,https://minirogue.github.io/SWCovers/Comics/kanan_09.jpg,12/16/2015,-18.791,,Kanan,9,Marvel,
477,Kanan #10,Comic Book,https://minirogue.github.io/SWCovers/Comics/kanan_10.jpg,1/27/2016,-18.79,,Kanan,10,Marvel,
478,Kanan #11,Comic Book,https://minirogue.github.io/SWCovers/Comics/kanan_11.jpg,2/4/2016,-18.789,,Kanan,11,Marvel,
479,Kanan #12,Comic Book,https://minirogue.github.io/SWCovers/Comics/kanan_12.jpg,3/16/2016,-18.788,,Kanan,12,Marvel,
480,Lando,TPB,https://minirogue.github.io/SWCovers/TPB/lando.jpg,1/19/2016,0.016,Collects Lando #1-5,Lando,,Marvel,
481,Lando #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/lando_1.jpg,7/8/2015,0.017,"Lando's putting the charm on hard to settle a debt. When he comes up a little short, it's time to plan a heist. A simple enough job stealing some Imperial scum's property. It's probably not important who that idiot Imperial is...right?",Lando,1,Marvel,
482,Lando #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/lando_2.jpg,8/12/2015,0.018,"Having stolen the Imperialus, one of Emperor Palpatine's personal ships, all Lando and his crew have to do is escape the gravity well and hit hyperspace. Until three star destroyers show up and get in the way, of course.",Lando,2,Marvel,
483,Lando #3,Comic Book,https://minirogue.github.io/SWCovers/Comics/lando_3.jpg,8/26/2015,0.019,The twins go toe to toe with the imperial guards found aboard the Imperialis. The bounty hunter Chanath Cha gets settled in aboard the Scimitar and begins his chase.,Lando,3,Marvel,
484,Lando #4,Comic Book,https://minirogue.github.io/SWCovers/Comics/lando_4.jpg,9/16/2015,0.02,"Chanath Cha catches up to the Imperialis. While examining the treasure, something strange happens to a member of the crew.",Lando,4,Marvel,
485,Lando #5,Comic Book,https://minirogue.github.io/SWCovers/Comics/lando_5.jpg,10/7/2015,0.021,The thrilling conclusion! Will Lando get away with his big score? Neither Chanath Cha nor the twins seem keen on letting that happen.,Lando,5,Marvel,
486,Lando: Double or Nothing,TPB,https://minirogue.github.io/SWCovers/TPB/lando_double_or_nothing.jpg,11/6/2018,-10,,Lando: Double or Nothing,,Marvel,
487,Lando: Double or Nothing #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/lando_double_or_nothing_1.jpg,5/30/2018,-9.999,,Lando: Double or Nothing,1,Marvel,
488,Lando: Double or Nothing #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/lando_double_or_nothing_2.jpg,6/27/2018,-9.998,,Lando: Double or Nothing,2,Marvel,
489,Lando: Double or Nothing #3,Comic Book,https://minirogue.github.io/SWCovers/Comics/lando_double_or_nothing_3.jpg,7/25/2018,-9.997,,Lando: Double or Nothing,3,Marvel,
490,Lando: Double or Nothing #4,Comic Book,https://minirogue.github.io/SWCovers/Comics/lando_double_or_nothing_4.jpg,8/29/2018,-9.996,,Lando: Double or Nothing,4,Marvel,
491,Lando: Double or Nothing #5,Comic Book,https://minirogue.github.io/SWCovers/Comics/lando_double_or_nothing_5.jpg,9/19/2018,-9.995,,Lando: Double or Nothing,5,Marvel,
492,Poe Dameron Vol. 1: Black Squadron,TPB,https://minirogue.github.io/SWCovers/TPB/poe_dameron_black_squadron.jpg,12/13/2016,33,,Poe Dameron,1,Marvel,
493,Poe Dameron Vol. 2: The Gathering Storm,TPB,https://minirogue.github.io/SWCovers/TPB/poe_dameron_the_gathering_storm.jpg,7/3/2017,33.0065,,Poe Dameron,2,Marvel,
494,Poe Dameron Vol. 3: Legend Lost,TPB,https://minirogue.github.io/SWCovers/TPB/poe_dameron_legend_lost.jpg,11/14/2017,33.0135,,Poe Dameron,3,Marvel,
495,Poe Dameron Vol. 4: Legend Found,TPB,https://minirogue.github.io/SWCovers/TPB/poe_dameron_legend_found.jpg,5/15/2018,33.0195,,Poe Dameron,4,Marvel,
496,Poe Dameron Vol. 5: The Spark and the Fire,TPB,https://minirogue.github.io/SWCovers/TPB/poe_dameron_the_spark_and_the_fire.jpg,12/4/2018,33.0255,,Poe Dameron,5,Marvel,
497,Poe Dameron #01,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_01.jpg,4/6/2016,33.001,,Poe Dameron,1,Marvel,
498,Poe Dameron #02,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_02.jpg,5/4/2016,33.002,,Poe Dameron,2,Marvel,
499,Poe Dameron #03,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_03.jpg,6/8/2016,33.003,,Poe Dameron,3,Marvel,
500,Poe Dameron #04,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_04.jpg,7/6/2016,33.004,,Poe Dameron,4,Marvel,
501,Poe Dameron #05,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_05.jpg,8/17/2016,33.005,,Poe Dameron,5,Marvel,
502,Poe Dameron #06,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_06.jpg,9/7/2016,33.006,,Poe Dameron,6,Marvel,
503,Poe Dameron #07,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_07.jpg,10/26/2016,33.007,,Poe Dameron,7,Marvel,
504,Poe Dameron #08,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_08.jpg,11/9/2016,33.008,,Poe Dameron,8,Marvel,
505,Poe Dameron #09,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_09.jpg,12/14/2016,33.009,,Poe Dameron,9,Marvel,
506,Poe Dameron #10,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_10.jpg,1/11/2017,33.01,,Poe Dameron,10,Marvel,
507,Poe Dameron #11,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_11.jpg,2/15/2017,33.011,,Poe Dameron,11,Marvel,
508,Poe Dameron #12,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_12.jpg,3/15/2017,33.012,,Poe Dameron,12,Marvel,
509,Poe Dameron #13,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_13.jpg,4/19/2017,33.013,,Poe Dameron,13,Marvel,
510,Poe Dameron #14,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_14.jpg,5/3/2017,33.014,,Poe Dameron,14,Marvel,
511,Poe Dameron #15,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_15.jpg,5/17/2017,33.015,,Poe Dameron,15,Marvel,
512,Poe Dameron #16,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_16.jpg,6/28/2017,33.016,,Poe Dameron,16,Marvel,
513,Poe Dameron #17,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_17.jpg,7/19/2017,33.017,,Poe Dameron,17,Marvel,
514,Poe Dameron #18,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_18.jpg,8/16/2017,33.018,,Poe Dameron,18,Marvel,
515,Poe Dameron #19,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_19.jpg,9/20/2017,33.019,,Poe Dameron,19,Marvel,
516,Poe Dameron #20,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_20.jpg,10/18/2017,33.02,,Poe Dameron,20,Marvel,
517,Poe Dameron #21,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_21.jpg,11/29/2017,33.021,,Poe Dameron,21,Marvel,
518,Poe Dameron #22,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_22.jpg,12/20/2017,33.022,,Poe Dameron,22,Marvel,
519,Poe Dameron #23,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_23.jpg,1/24/2018,33.023,,Poe Dameron,23,Marvel,
520,Poe Dameron #24,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_24.jpg,2/14/2018,33.024,,Poe Dameron,24,Marvel,
521,Poe Dameron #25,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_25.jpg,3/21/2018,33.025,,Poe Dameron,25,Marvel,
522,Poe Dameron #26,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_26.jpg,4/18/2018,33.026,,Poe Dameron,26,Marvel,
523,Poe Dameron #27,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_27.jpg,5/16/2018,33.027,,Poe Dameron,27,Marvel,
524,Poe Dameron #28,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_28.jpg,6/20/2018,33.028,,Poe Dameron,28,Marvel,
525,Poe Dameron #29,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_29.jpg,7/18/2018,33.029,,Poe Dameron,29,Marvel,
526,Poe Dameron #30,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_30.jpg,8/15/2018,33.03,,Poe Dameron,30,Marvel,
527,Poe Dameron #31,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_31.jpg,9/26/2018,33.031,,Poe Dameron,31,Marvel,
528,Poe Dameron Annual #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_annual_1.jpg,6/21/2017,33.0192,,Poe Dameron,1,Marvel,
529,Poe Dameron Annual #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/poe_dameron_annual_2.jpg,8/29/2018,33.0311,,Poe Dameron,2,Marvel,
530,Princess Leia,TPB,https://minirogue.github.io/SWCovers/TPB/princess_leia.jpg,11/3/2015,0.0009,,Princess Leia,,Marvel,
531,Princess Leia #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/princess_leia_1.jpg,3/4/2015,0.001,,Princess Leia,1,Marvel,
532,Princess Leia #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/princess_leia_2.jpg,3/18/2015,0.002,,Princess Leia,2,Marvel,
533,Princess Leia #3,Comic Book,https://minirogue.github.io/SWCovers/Comics/princess_leia_3.jpg,4/29/2015,0.003,,Princess Leia,3,Marvel,
534,Princess Leia #4,Comic Book,https://minirogue.github.io/SWCovers/Comics/princess_leia_4.jpg,6/3/2015,0.004,,Princess Leia,4,Marvel,
535,Princess Leia #5,Comic Book,https://minirogue.github.io/SWCovers/Comics/princess_leia_5.jpg,7/1/2015,0.005,,Princess Leia,5,Marvel,
536,Shattered Empire,TPB,https://minirogue.github.io/SWCovers/TPB/shattered_empire.jpg,11/17/2015,4.009,,Shattered Empire,,Marvel,
537,Shattered Empire #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/shattered_empire_1.jpg,9/9/2015,4.01,"The second Death Star is destroyed, and the war is over. Except for the Imperial holdouts on the other side of the forest moon off Endor. But then it's over...right?",Shattered Empire,1,Marvel,
538,Shattered Empire #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/shattered_empire_2.jpg,10/7/2015,4.02,The war continues mere weeks after the battle of Endor. A red-clad droid appears to deliver a message to remaining Imperials. What could Operation Cinder be?,Shattered Empire,2,Marvel,
