ID,title,type,image,released,timeline,description,series,number,publisher,ranking
1400,Dark Droids #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/dark_droids_2.jpg,9/6/2023,,,Dark Droids,2,Marvel,
1401,Dark Droids #3,Comic Book,https://minirogue.github.io/SWCovers/Comics/dark_droids_3.jpg,10/11/2023,,,Dark Droids,3,Marvel,
1402,Dark Droids #4,Comic Book,https://minirogue.github.io/SWCovers/Comics/dark_droids_4.jpg,11/15/2023,,,Dark Droids,4,Marvel,
1403,Dark Droids #5,Comic Book,https://minirogue.github.io/SWCovers/Comics/dark_droids_5.jpg,12/27/2023,,,Dark Droids,5,Marvel,
1404,Dark Droids: D-Squad #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/dark_droids_d_squad_1.jpg,9/20/2023,,,Dark Droids: D-Squad,1,Marvel,
1405,Dark Droids: D-Squad #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/dark_droids_d_squad_2.jpg,10/25/2023,,,Dark Droids: D-Squad,2,Marvel,
1406,Dark Droids: D-Squad #3,Comic Book,https://minirogue.github.io/SWCovers/Comics/dark_droids_d_squad_3.jpg,11/22/2023,,,Dark Droids: D-Squad,3,Marvel,
1407,Dark Droids: D-Squad #4,Comic Book,https://minirogue.github.io/SWCovers/Comics/dark_droids_d_squad_4.jpg,12/6/2023,,,Dark Droids: D-Squad,4,Marvel,
1408,The High Republic (2023) #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/the_high_republic_2023_1.jpg,11/8/2023,,,The High Republic (2023),1,Marvel,
1409,The High Republic (2023) #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/the_high_republic_2023_2.jpg,12/20/2023,,,The High Republic (2023),2,Marvel,
1410,The High Republic (2023) #3,Comic Book,https://minirogue.github.io/SWCovers/Comics/the_high_republic_2023_3.jpg,1/17/2024,,,The High Republic (2023),3,Marvel,
1411,Revelations (2023) #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/revelations_2023_1.jpg,12/20/2023,,,Revelations,1,Marvel,
1412,The High Republic: Shadows of Starlight #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/the_high_republic_shadow_of_starlight_1.jpg,10/4/2023,,,The High Republic: Shadows of Starlight,1,Marvel,
1413,The High Republic: Shadows of Starlight #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/the_high_republic_shadow_of_starlight_2.jpg,11/8/2023,,,The High Republic: Shadows of Starlight,2,Marvel,
1414,The High Republic: Shadows of Starlight #3,Comic Book,https://minirogue.github.io/SWCovers/Comics/the_high_republic_shadow_of_starlight_3.jpg,12/13/2023,,,The High Republic: Shadows of Starlight,3,Marvel,
1415,The High Republic: Shadows of Starlight #4,Comic Book,https://minirogue.github.io/SWCovers/Comics/the_high_republic_shadow_of_starlight_4.jpg,1/3/2024,,,The High Republic: Shadows of Starlight,4,Marvel,
1416,Obi-Wan Kenobi (2023) #1,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/obiwan_kenobi_2023_1.jpg,9/13/2023,,,Obi-Wan Kenobi (2023),1,Marvel,
1417,Obi-Wan Kenobi (2023) #2,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/obiwan_kenobi_2023_2.jpg,10/18/2023,,,Obi-Wan Kenobi (2023),2,Marvel,
1418,Obi-Wan Kenobi (2023) #3,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/obiwan_kenobi_2023_3.jpg,11/29/2023,,,Obi-Wan Kenobi (2023),3,Marvel,
1419,Obi-Wan Kenobi (2023) #4,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/obiwan_kenobi_2023_4.jpg,1/17/2024,,,Obi-Wan Kenobi (2023),4,Marvel,
1420,Obi-Wan Kenobi (2023) #5,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/obiwan_kenobi_2023_5.jpg,2/7/2024,,,Obi-Wan Kenobi (2023),5,Marvel,
1421,Yoda,TPB,https://minirogue.github.io/SWCovers/TPB/yoda.jpg,12/20/2023,,,Yoda,1,Marvel,
1422,"The Mandalorian: Season Two, Part One",TPB Adaptation,https://minirogue.github.io/SWCovers/TPB/the_mandalorian_season_two_part_one.jpg,11/22/2023,,,The Mandalorian (comic),3,Marvel,
1423,"Scoundrels, Rebels and the Empire",TPB,https://minirogue.github.io/SWCovers/TPB/scoundrels_rebels_and_the_empire.jpg,11/8/2023,,,Return of the Jedi One-Shots,1,Marvel,
1424,The High Republic Phase I: Light of the Jedi,TPB,https://minirogue.github.io/SWCovers/TPB/light_of_the_jedi.jpg,10/18/2023,,,The High Republic,1,Marvel,
1425,The High republic: The Blade,TPB,https://minirogue.github.io/SWCovers/TPB/the_blade.jpg,10/4/2023,,,The High Republic: The Blade,1,Marvel,
1426,Star Wars (2020) Vol. 6: Quests of the Force,TPB,https://minirogue.github.io/SWCovers/TPB/quests_of_the_force.jpg,9/27/2023,,,Star Wars (2020),6,Marvel,
1427,Bounty Hunters Vol. 6: Bedlam on Bestine,TPB,https://minirogue.github.io/SWCovers/TPB/bedlam_on_bestine.jpg,9/20/2023,,,Bounty Hunters,6,Marvel,
1428,Sana Starros: Family Matters,TPB,https://minirogue.github.io/SWCovers/TPB/family_matters.jpg,9/13/2023,,,Sana Starros,1,Marvel,
1429,Doctor Aphra Omnibus Vol. 2,TPB,https://minirogue.github.io/SWCovers/TPB/doctor_aphra_omnibus_2.jpg,8/30/2023,,,Doctor Aphra (2020),2,Marvel,
1430,The High Republic Phase II: Battle for the Force,TPB,https://minirogue.github.io/SWCovers/TPB/battle_for_the_force.jpg,8/23/2023,,,The High Republic (2022),2,Marvel,
1431,Doctor Aphra (2020) Vol. 6: Ascendant,TPB,https://minirogue.github.io/SWCovers/TPB/ascendant.jpg,8/2/2023,,,Doctor Aphra (2020),6,Marvel,
1432,Hidden Empire,TPB,https://minirogue.github.io/SWCovers/TPB/hidden_empire.jpg,7/5/2023,,,Hidden Empire,1,Marvel,
1433,Darth Vader (2020) Vol. 6: Return of the Handmaidens,TPB,https://minirogue.github.io/SWCovers/TPB/return_of_the_handmaidens.jpg,6/28/2023,,,Darth Vader (2020),6,Marvel,
1434,Han Solo & Chewbacca Vol. 2: The Crystal Run Part Two,TPB,https://minirogue.github.io/SWCovers/TPB/the_crystal_run_part_two.jpg,6/7/2023,,,Han Solo & Chewbacca,2,Marvel,
1435,Darth Vader (omnibus),TPB,https://minirogue.github.io/SWCovers/TPB/darth_vader_omnibus.jpg,5/31/2023,,,Darth Vader,1,Marvel,
1436,Star Wars (2020) Vol. 5: The Path To Victory,TPB,https://minirogue.github.io/SWCovers/TPB/the_path_to_victory.jpg,5/24/2023,,,Star Wars (2020),5,Marvel,
1437,"The Mandalorian: Season One, Part Two",TPB Adaptation,https://minirogue.github.io/SWCovers/TPB/the_mandalorian_season_one_part_two.jpg,5/3/2023,,,The Mandalorian (comic),2,Marvel,
1438,The High Republic: Phase II Vol. 1: Balance of the Force,TPB,https://minirogue.github.io/SWCovers/TPB/balance_of_the_force.jpg,5/3/2023,,,The High Republic (2022),1,Marvel,
1439,Bounty Hunters Vol. 5: The Raid on the Vermillion,TPB,https://minirogue.github.io/SWCovers/TPB/the_raid_on_the_vermillion.jpg,2/15/2023,,,Bounty Hunters,5,Marvel,
1440,Doctor Aphra Omnibus Vol. 1,TPB,https://minirogue.github.io/SWCovers/TPB/doctor_aphra_omnibus_1.jpg,2/1/2023,,,Doctor Aphra (2020),1,Marvel,
1441,Darth Vader (2020) Vol. 5: The Shadow's Shadow,TPB,https://minirogue.github.io/SWCovers/TPB/the_shadows_shadow.jpg,1/11/2023,,,Darth Vader (2020),5,Marvel,
1442,Star Wars (2020) #44,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_44.jpg,3/6/2024,,,Darth Vader (2020),44,Marvel,
1443,The High Republic (2023) #4,Comic Book,https://minirogue.github.io/SWCovers/Comics/the_high_republic_2023_4.jpg,3/6/2024,,,The High Republic (2023),4,Marvel,
1444,Thrawn Alliances #1,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/thrawn_alliances_1.jpg,1/24/2024,,,Thrawn Alliances (comic),1,Marvel,
1445,Thrawn Alliances #2,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/thrawn_alliances_2.jpg,2/28/2024,,,Thrawn Alliances (comic),2,Marvel,
1446,Mace Windu (2024) #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/mace_windu_2024_1.jpg,2/7/2024,,,Mace Windu (2024),1,Marvel,
1447,Mace Windu (2024) #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/mace_windu_2024_2.jpg,3/13/2024,,,Mace Windu (2024),2,Marvel,
1448,"Darth Vader (2020): Black, White & Red",TPB,https://minirogue.github.io/SWCovers/TPB/black_white_and_red.jpg,1/3/2024,,,Darth Vader: Black White & Red,1,Marvel,
1449,The High Republic (2023) #5,Comic Book,https://minirogue.github.io/SWCovers/Comics/the_high_republic_2023_5.jpg,3/20/2024,,,The High Republic (2023),5,Marvel,
1450,The High Republic (2023) #6,Comic Book,https://minirogue.github.io/SWCovers/Comics/the_high_republic_2023_6.jpg,4/10/2024,,,The High Republic (2023),6,Marvel,
1451,Thrawn Alliances #3,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/thrawn_alliances_3.jpg,3/20/2024,,,Thrawn Alliances (comic),3,Marvel,
1452,Thrawn Alliances #4,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/thrawn_alliances_4.jpg,4/10/2024,,,Thrawn Alliances (comic),4,Marvel,
1453,Jango Fett #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/jango_fett_1.jpg,3/20/2024,,,Jango Fett,1,Marvel,
1454,Obi-Wan Kenobi (2023) #6,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/obiwan_kenobi_2023_6.jpg,3/27/2024,,,Obi-Wan Kenobi (2023),6,Marvel,
1455,Star Wars (2020) #45,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_2020_45.jpg,4/3/2024,,,Star Wars (2020),45,Marvel,
1456,Darth Vader (2020) #45,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_45.jpg,4/10/2024,,,Darth Vader (2020),45,Marvel,
1457,Darth Vader (2020) Vol. 8: Dark Droids,TPB,https://minirogue.github.io/SWCovers/TPB/darth_vader_dark_droids.jpg,4/10/2024,,,Darth Vader (2020),8,Marvel,
1458,Dark Droids,TPB,https://minirogue.github.io/SWCovers/TPB/dark_droids.jpg,3/27/2024,,,Dark Droids,1,Marvel,
1459,"The Mandalorian: Season Two, Part Two",TPB Adaptation,https://minirogue.github.io/SWCovers/TPB/the_mandalorian_season_two_part_two.jpg,4/10/2024,,,The Mandalorian (comic),4,Marvel,
1460,Crimson Climb,Original Novel,https://minirogue.github.io/SWCovers/Novels/crimson_climb.jpg,10/10/2023,,,,,Disney-Lucasfilm Press,
1461,The Living Force,Original Novel,https://minirogue.github.io/SWCovers/Novels/the_living_force.jpg,4/9/2024,,,,,Random House Worlds,
1462,The High Republic: Defy the Storm,Original Novel,https://minirogue.github.io/SWCovers/Novels/defy_the_storm.jpg,3/5/2024,,,,,Disney-Lucasfilm Press,
1463,The High Republic: Escape from Valo,Youth,https://minirogue.github.io/SWCovers/Youth/escape_from_valo.jpg,1/30/2024,,,,,Disney-Lucasfilm Press,
1464,The High republic: Jedi Brave in Every Way,Youth,https://minirogue.github.io/SWCovers/Youth/jedi_brave_in_every_way.jpg,10/10/2023,,,,,Disney-Lucasfilm Press,
1465,Confined,TV Episode,https://minirogue.github.io/SWCovers/TV/bad_batch.jpg,2/21/2024,,,The Bad Batch,301,Disney,
1466,Paths Unknown,TV Episode,https://minirogue.github.io/SWCovers/TV/bad_batch.jpg,2/21/2024,,,The Bad Batch,302,Disney,
1467,Shadows of tantiss,TV Episode,https://minirogue.github.io/SWCovers/TV/bad_batch.jpg,2/21/2024,,,The Bad Batch,303,Disney,
1468,A Different Approach,TV Episode,https://minirogue.github.io/SWCovers/TV/bad_batch.jpg,2/28/2024,,,The Bad Batch,304,Disney,
1469,The Return,TV Episode,https://minirogue.github.io/SWCovers/TV/bad_batch.jpg,3/6/2024,,,The Bad Batch,305,Disney,
1470,Infiltration,TV Episode,https://minirogue.github.io/SWCovers/TV/bad_batch.jpg,3/13/2024,,,The Bad Batch,306,Disney,
1471,Extraction,TV Episode,https://minirogue.github.io/SWCovers/TV/bad_batch.jpg,3/13/2024,,,The Bad Batch,307,Disney,
1472,Bad Territory,TV Episode,https://minirogue.github.io/SWCovers/TV/bad_batch.jpg,3/20/2024,,,The Bad Batch,308,Disney,
1473,The Harbinger,TV Episode,https://minirogue.github.io/SWCovers/TV/bad_batch.jpg,3/27/2024,,,The Bad Batch,309,Disney,
1474,Identity Crisis,TV Episode,https://minirogue.github.io/SWCovers/TV/bad_batch.jpg,4/3/2024,,,The Bad Batch,310,Disney,
